id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
LvmxMT,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CEACAM19,Wald ratio,1,0.32725801,0.03799521,7.11E-18
Mhun2B,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KCTD13,Wald ratio,1,-0.26100106,0.056505384,3.86E-06
NEsLY3,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,INO80E,Wald ratio,1,0.12392169,0.021356717,6.53E-09
OqS3eo,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RITA1,Wald ratio,1,-0.266554188,0.057331487,3.33E-06
p5orys,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KCNH6,Wald ratio,1,0.07369502,0.011942671,6.80E-10
ptRsHF,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,FAM96A,Wald ratio,1,0.344264381,0.072629616,2.14E-06
qWm90S,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,HLA-E,Wald ratio,1,0.462168389,0.095507482,1.30E-06
rWuxeF,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,AZGP1,Wald ratio,1,0.199547033,0.040540029,8.56E-07
sBNdO6,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-259G18.3,Wald ratio,1,-0.042646211,0.007796382,4.50E-08
SbRrqq,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,HLA-DRB9,Wald ratio,1,-0.053030705,0.011048063,1.59E-06
sFfxWt,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,EPHA1-AS1,Wald ratio,1,-0.180103978,0.022027105,2.92E-16
slbhBo,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,APH1B,Wald ratio,1,0.275901058,0.030318798,9.03E-20
T7yjCa,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,INCA1,Wald ratio,1,0.232254095,0.050666251,4.56E-06
