id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
K8DsPh,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,MAPT,Wald ratio,1,-0.110207415,0.019366158,1.27E-08
kcDwC2,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,MAT1A,Wald ratio,1,-0.079317007,0.015669945,4.15E-07
m0L2Di,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZSCAN26,Wald ratio,1,-0.170951847,0.031715048,7.04E-08
n3xkiu,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,SNX31,Wald ratio,1,0.151772909,0.027534023,3.54E-08
NQqb7U,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,DND1P1,Wald ratio,1,-0.043247358,0.007650255,1.58E-08
PjZx2v,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,GPC2,Wald ratio,1,0.204062922,0.039168476,1.89E-07
QifcN7,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,APH1B,Wald ratio,1,0.289153835,0.030450714,2.19E-21
qJuX9V,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KAT8,Wald ratio,1,-0.086381553,0.018653086,3.64E-06
Qkq4Qu,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CEACAM22P,Wald ratio,1,-0.292951255,0.040384241,4.04E-13
qxuh2H,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZNF668,Wald ratio,1,0.223300483,0.047850103,3.06E-06
rPhDtX,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,B4GALT3,Wald ratio,1,-0.255438622,0.052248809,1.01E-06
rXvquA,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZSCAN9,Wald ratio,1,-0.148121567,0.031604345,2.78E-06
SDgocp,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ADAM10,Wald ratio,1,-0.145830887,0.031645039,4.06E-06
SGRll2,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PRSS36,Wald ratio,1,-0.32451216,0.059408722,4.70E-08
SmkJj0,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ARHGAP27,Wald ratio,1,-0.095660392,0.020950416,4.97E-06
U8weQk,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-707O23.1,Wald ratio,1,-0.048594338,0.009002354,6.74E-08
UpSFWQ,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,BCAM,Wald ratio,1,-0.580917756,0.060004978,3.63E-22
upVJpM,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,NDUFAF6,Wald ratio,1,0.281257992,0.050912043,3.31E-08
uq9plZ,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CLU,Wald ratio,1,0.616161814,0.051039352,1.48E-33
V0JZ2P,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CHRNE,Wald ratio,1,0.07296077,0.014218528,2.88E-07
VDt45N,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,MAPK8IP1P2,Wald ratio,1,-0.045275944,0.00800414,1.54E-08
VpX8Yb,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KANSL1-AS1,Wald ratio,1,-0.039698424,0.007678612,2.34E-07
VxJYte,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-259G18.1,Wald ratio,1,-0.068400939,0.012344921,3.01E-08
wn8pEQ,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,INO80E,Wald ratio,1,0.140239026,0.023091567,1.25E-09
yBinLy,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LINC02210,Wald ratio,1,-0.044821178,0.008398615,9.46E-08
z3GiD5,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-259G18.3,Wald ratio,1,-0.042572177,0.007690959,3.11E-08
z5xCtx,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,FAM157C,Wald ratio,1,-0.160205334,0.030643302,1.71E-07
