id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
kHTvev,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KAT8,Wald ratio,1,-0.096078503,0.020747029,3.64E-06
kq29Jk,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-385F7.1,Wald ratio,1,-0.222430437,0.033904807,5.36E-11
lee7sx,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,C17orf107,Wald ratio,1,0.14061411,0.027325011,2.66E-07
LQPhvA,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,TRIM72,Wald ratio,1,0.165323027,0.035483967,3.18E-06
MxWASr,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-259G18.3,Wald ratio,1,-0.042054002,0.007787778,6.66E-08
nxnr2h,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CTB-39G8.3,Wald ratio,1,-0.21472873,0.040082696,8.45E-08
ovJl8I,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CD2AP,Wald ratio,1,0.380290719,0.083502989,5.26E-06
p9sMqU,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,FCER1G,Wald ratio,1,-0.355785635,0.062110585,1.01E-08
pzdJay,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LINC02210,Wald ratio,1,-0.045606368,0.008254169,3.29E-08
QJ2CyJ,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ACE,Wald ratio,1,-0.410196895,0.050649312,5.55E-16
Rou6zD,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,NBEAL1,Wald ratio,1,0.164360128,0.032872026,5.73E-07
rvxH3R,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-455F5.3,Wald ratio,1,-0.105060081,0.019713791,9.86E-08
tqZV3S,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,GULOP,Wald ratio,1,-0.175297915,0.025687778,8.84E-12
wolZ1u,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,SLC26A1,Wald ratio,1,-0.055379642,0.011565773,1.68E-06
XAzTlE,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,AC093673.5,Wald ratio,1,-0.246146551,0.046911338,1.55E-07
Xuzv0w,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,FAM171A2,Wald ratio,1,0.178517592,0.037209622,1.61E-06
Yt7QtO,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,MAT1A,Wald ratio,1,-0.065034806,0.011321849,9.24E-09
