id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
JOukDh,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PLD2,Wald ratio,1,0.090090247,0.018683039,1.42E-06
K8SPEx,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-137H2.4,Wald ratio,1,-0.064866318,0.014325316,5.95E-06
lN1wi7,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,HLA-E,Wald ratio,1,0.516557123,0.110964123,3.24E-06
lQqdYd,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PLEKHM1,Wald ratio,1,0.789918905,0.14126287,2.25E-08
Luf9Zg,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,OTULIN,Wald ratio,1,0.184112571,0.036460177,4.43E-07
MB2tkv,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,SLC26A1,Wald ratio,1,-0.087424238,0.018258133,1.68E-06
mmaWSk,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CHRNE,Wald ratio,1,0.087732567,0.017202464,3.40E-07
N2gP70,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,AC012146.7,Wald ratio,1,-0.203478096,0.034087825,2.38E-09
NRoA9h,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CTSH,Wald ratio,1,0.097692067,0.020944935,3.10E-06
odkQWy,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KAT8,Wald ratio,1,-0.622267655,0.106240819,4.71E-09
ofgOdX,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PICALM,Wald ratio,1,1.22696905,0.142106585,5.92E-18
Oqmnnz,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,TAS2R60,Wald ratio,1,-0.102407731,0.012524687,2.92E-16
P5XqVL,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,GAL3ST4,Wald ratio,1,-0.403385636,0.065800494,8.76E-10
P6WWy6,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,IGHV1-58,Wald ratio,1,0.28216368,0.055873996,4.42E-07
QOTME9,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZSCAN21,Wald ratio,1,0.15287317,0.029273586,1.77E-07
rG6CwS,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-1072A3.3,Wald ratio,1,0.221616838,0.047978903,3.86E-06
rGhdwy,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CARF,Wald ratio,1,0.36368564,0.074570837,1.08E-06
SG3RJ2,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,PTK2B,Wald ratio,1,0.521182571,0.067980335,1.77E-14
SJSEY2,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,CSTF1,Wald ratio,1,0.642687068,0.080267629,1.18E-15
snUA51,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ZNF192P1,Wald ratio,1,0.152580175,0.033275464,4.53E-06
sT2fPB,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,KIF1C,Wald ratio,1,0.263397783,0.04882831,6.88E-08
UlVugF,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LRRC37A,Wald ratio,1,-0.116743901,0.021129152,3.29E-08
VoBZeu,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-196G11.2,Wald ratio,1,-0.114568341,0.025325633,6.07E-06
vz7zWA,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,INPP5D,Wald ratio,1,-0.349119306,0.047712972,2.53E-13
WlDeb4,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,STYX,Wald ratio,1,0.64744971,0.116610566,2.82E-08
XMSfYO,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RNF167,Wald ratio,1,0.427919378,0.093025952,4.22E-06
ygR7kX,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LINC02210,Wald ratio,1,-0.092197471,0.017023665,6.10E-08
yKiSlT,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,RP11-357P18.2,Wald ratio,1,0.353858561,0.057464211,7.37E-10
