"","X","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","tissue","lo_ci","up_ci","or","or_lci95","or_uci95","exposure_tissue"
"17",17,"gfdhrz","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-798G7.6","Wald ratio",1,0.0609636635605398,0.0110433253769555,3.38213121451746e-08,"Fetal Cortex",0.039318745821707,0.0826085812993726,1.06286029292683,1.04010195897274,1.08611659898827,"RP11-798G7.6-Fetal Cortex"
"18",18,"gpO4Hk","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","GRN","Wald ratio",1,-0.277418157671168,0.0395084682751509,2.19123382346901e-12,"Fetal Cortex",-0.354854755490464,-0.199981559851872,0.757737577073268,0.701275292197755,0.818745850733546,"GRN-Fetal Cortex"
"19",19,"JCSppC","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","GGA2","Wald ratio",1,0.192676272281899,0.0421835625705933,4.93416649970235e-06,"Fetal Cortex",0.109996489643536,0.275356054920262,1.21249021328803,1.11627415193181,1.31699951555365,"GGA2-Fetal Cortex"
"20",20,"k4vbJ0","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","SIGLEC11","Wald ratio",1,0.0824598530342165,0.0181843780708643,5.76981372532255e-06,"Fetal Cortex",0.0468184720153225,0.118101234053111,1.08595507476266,1.04793176287168,1.12535803015561,"SIGLEC11-Fetal Cortex"
"21",21,"KACLzh","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","APOE","Wald ratio",1,0.230568246889129,0.0245641715814084,6.21074963514083e-21,"Fetal Cortex",0.182422470589569,0.278714023188689,1.25931540871209,1.2001211026651,1.32142939166553,"APOE-Fetal Cortex"
"22",22,"kB7lyS","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","EPHX2","Wald ratio",1,0.137237052012372,0.0277446747750644,7.55874455489028e-07,"Fetal Cortex",0.0828574894532458,0.191616614571498,1.14710003866563,1.08638697591393,1.2112060691815,"EPHX2-Fetal Cortex"
"23",23,"lYjdAe","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","PVR","Wald ratio",1,-0.26072875365582,0.0548122948026439,1.96727977570457e-06,"Fetal Cortex",-0.368160851469002,-0.153296655842638,0.770489883837626,0.692005862576496,0.857875190371663,"PVR-Fetal Cortex"
"24",24,"MqRsIa","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CNPY4","Wald ratio",1,-0.178545081891926,0.029327802260226,1.14392650862593e-09,"Fetal Cortex",-0.236027574321969,-0.121062589461883,0.83648634564032,0.789758896566464,0.885978504939591,"CNPY4-Fetal Cortex"
"25",25,"nV5CAh","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZSCAN26","Wald ratio",1,-0.0874348731326598,0.0182798349370548,1.72584252788809e-06,"Fetal Cortex",-0.123263349609287,-0.0516063966560324,0.916278544058904,0.884030822731263,0.949702599405772,"ZSCAN26-Fetal Cortex"
"26",26,"Pchi6I","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","MAPK8IP1P2","Wald ratio",1,-0.0311996472784866,0.00606830074768208,2.72678255864927e-07,"Fetal Cortex",-0.0430935167439435,-0.0193057778130297,0.969282039236197,0.957821813501365,0.980879385228725,"MAPK8IP1P2-Fetal Cortex"
"27",27,"PGhmWm","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","MAPT-AS1","Wald ratio",1,0.129979597333411,0.0238093468012604,4.78328728897567e-08,"Fetal Cortex",0.0833132776029406,0.176645917063881,1.13880514842584,1.08688225108524,1.1932085235418,"MAPT-AS1-Fetal Cortex"
"28",28,"qJKwfP","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","USP6NL","Wald ratio",1,-0.189008267347096,0.0399976001439914,2.29560910440857e-06,"Fetal Cortex",-0.267403563629319,-0.110612971064873,0.827779663124651,0.765364136003532,0.895285183155744,"USP6NL-Fetal Cortex"
"29",29,"Smg2IG","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-521O16.2","Wald ratio",1,0.116950746351216,0.0199527455768121,4.59019175103697e-09,"Fetal Cortex",0.0778433650206643,0.156058127681768,1.12406406407045,1.0809533303065,1.16889414622211,"RP11-521O16.2-Fetal Cortex"
"30",30,"Sx043T","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LINC02210","Wald ratio",1,-0.081019368768424,0.0148132427972118,4.51592805344093e-08,"Fetal Cortex",-0.110053324650959,-0.0519854128858889,0.922175829861535,0.895786366527584,0.949342714912401,"LINC02210-Fetal Cortex"
"31",31,"tNizP1","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LRRC37A4P","Wald ratio",1,0.0391457653783606,0.0070462377681049,2.76730179155376e-08,"Fetal Cortex",0.025335139352875,0.0529563914038462,1.03992205723494,1.02565880155772,1.05438366392538,"LRRC37A4P-Fetal Cortex"
